文件名,歌名,语种,总歌手,歌手1,歌手2,歌手3,歌手4,性别1,性别2,性别3,性别4,原唱,伴奏,版本
CHI003876,尘埃里的花,国语,陈瑞,陈瑞,,,,女,,,,2,1,
CHI004803,梦的翅膀受了伤,国语,蒋雪儿,蒋雪儿,,,,女,,,,2,1,
CHI004806,下辈子不做女人,国语,陈瑞,陈瑞,,,,女,,,,2,1,9
CHI004807,你是我生命的传奇,国语,陈瑞,陈瑞,,,,女,,,,2,1,
CHI004816,落花,国语,林心如,林心如,,,,女,,,,2,1,
CHI005804,半城烟沙,国语,许嵩,许嵩,,,,男,,,,2,1,
CHI006802,SUPER GIRL,国语,SUPER JUNIOR,SUPER JUNIOR,,,,合,,,,2,1,
CHI006806,我的好兄弟,国语,小沈阳^成龙^赵本山,小沈阳,成龙,赵本山,,男,男,男,,2,1,
CHI006812,灰色头像,国语,许嵩,许嵩,,,,男,,,,2,1,
CHI006814,被情伤过的女人,国语,黑龙,黑龙,,,,男,,,,2,1,
CHI006846,等待,国语,韩磊,韩磊,,,,男,,,,2,1,
CHI003518,心痛2009,国语,欢子,欢子,,,,男,,,,2,1,
CHI003520,其实很寂寞,国语,欢子,欢子,,,,男,,,,2,1,
CHI006540,如果没有他你还爱我吗,国语,六哲,六哲,,,,男,,,,2,1,
CHI006542,回忆的沙漏,国语,邓紫棋,邓紫棋,,,,女,,,,2,1,1
CHI006564,我的心好冷,国语,SARA,SARA,,,,女,,,,2,1,
CHI003695,ALICE,英语,AVRIL LAVIGNE,AVRIL LAVIGNE,,,,女,,,,2,1,1
CHI003697,IMMA BE,英语,BLACK EYED PEAS,BLACK EYED PEAS,,,,合,,,,2,1,1
CHI003698,ROCKING YOUR BODY,英语,BLACK EYED PEAS,BLACK EYED PEAS,,,,合,,,,2,1,1
CHI003700,BLAH BLAH BLAH,英语,KE$HA^3OH!3,KE$HA,3OH!3,,,女,合,,,2,1,1
CHI003703,RUDE BOY,英语,RIHANNA,RIHANNA,,,,女,,,,2,1,1
CHI003707,LET'S GET IT STARTED,英语,BLACK EYED PEAS,BLACK EYED PEAS,,,,合,,,,2,1,1
CHI003709,CLOCKS,英语,COLDPLAY,COLDPLAY,,,,合,,,,2,1,1
CHI003710,IN MY PLACE,英语,COLDPLAY,COLDPLAY,,,,合,,,,2,1,1
CHI003716,MAN IN THE MIRROR,英语,MICHAEL JACKSON,MICHAEL JACKSON,,,,男,,,,2,1,1
CHI003717,WILL YOU BE THERE,英语,MICHAEL JACKSON,MICHAEL JACKSON,,,,男,,,,2,1,1
CHI003722,KRAZY,英语,PITBULL^LIL JON,PITBULL,LIL JON,,,男,,,,2,1,1
CHI004601,POKER FACE,英语,LADY GAGA,LADY GAGA,,,,女,,,,2,1,1
CHI004602,FUCK YOU,英语,LILY ALLEN,LILY ALLEN,,,,女,,,,2,1,1
CHI004612,FIX YOU,英语,COLDPLAY,COLDPLAY,,,,合,,,,2,1,1
CHI004614,THE SHOW,英语,LENKA,LENKA,,,,女,,,,2,1,1
CHI004619,A WHOLE NEW WORLD,英语,PEABO BRYSON^REGINA BELLE,PEABO BRYSON,REGINA BELLE,,,,,,,2,1,1
CHI004643,I DON'T LOVE YOU,英语,MY CHEMICAL ROMANCE,MY CHEMICAL ROMANCE,,,,男,,,,2,1,1
CHI004648,LIVING TO LOVE YOU,英语,SARAH CONNOR,SARAH CONNOR,,,,女,,,,2,1,1
CHI004655,NOTHIN'ON YOU,英语,B.O.B^BRUNO MARS,B.O.B,BRUNO MARS,,,男,男,,,2,1,1
CHI004657,PARACHUTE,英语,CHERYL COLE,CHERYL COLE,,,,女,,,,2,1,1
CHI004662,BABY,英语,JUSTIN BIEBER^LUDACRIS,JUSTIN BIEBER,LUDACRIS,,,男,女,,,2,1,1
CHI004664,I GOT YOU,英语,LEONA LEWIS,LEONA LEWIS,,,,女,,,,2,1,1
CHI004673,BOUNCE,英语,SARAH CONNOR,SARAH CONNOR,,,,女,,,,2,1,1
X2013030466,ONE WAY OR ANOTHER,英语,ONE DIRECTION,ONE DIRECTION,,,,合,,,,1,2,1
CHI004678,RIVERSIDE(LET'S GO!),英语,SIDNEY SAMSON^WIZARD SLEEVE,SIDNEY SAMSON,WIZARD SLEEVE,,,合,,,,2,1,1
CHI004681,WHATAYA WANT FROM ME,英语,ADAM LAMBERT,ADAM LAMBERT,,,,男,,,,2,1,1
CHI004688,FEARLESS,英语,TAYLOR SWIFT,TAYLOR SWIFT,,,,女,,,,2,1,1
CHI004706,RIGHT NOW(NA NA NA),英语,AKON,AKON,,,,男,,,,2,1,1
CHI004715,LIVIN' ON A PRAYER,英语,BON JOVI,BON JOVI,,,,合,,,,2,1,1
CHI004723,OMG,英语,USHER^WILL I AM,USHER,WILL I AM,,,男,,,,2,1,1
CHI005608,DON'T SPEAK,英语,NO DOUBT,NO DOUBT,,,,女,,,,2,1,1
CHI005609,I'LL BE MISSING YOU,英语,PUFF DADDY^FAITH EVANS^112,PUFF DADDY,FAITH EVANS,112,,合,,,,2,1,1
CHI005642,I DON'T WANT TO MISS A THING,英语,AEROSMITH,AEROSMITH,,,,合,,,,2,1,1
CHI005645,GENIE IN A BOTTLE,英语,CHRISTINA AGUILERA,CHRISTINA AGUILERA,,,,女,,,,2,1,1
CHI005648,SOMEBODY TO LOVE,英语,GLEE CAST,GLEE CAST,,,,合,,,,2,1,1
CHI005688,ABC,英语,MICHAEL JACKSON^JACKSON 5,MICHAEL JACKSON,JACKSON 5,,,男,合,,,2,1,1
CHI005691,TRULY MADLY DEEPLY,英语,SAVAGE GARDEN,SAVAGE GARDEN,,,,合,,,,2,1,1
CHI005693,WE ARE THE WORLD,英语,ALL STAR,ALL STAR,,,,合,,,,2,1,1
CHI005694,SORRY SEEMS TO BE THE HARDEST WORD,英语,BLUE^ELTON JOHN,BLUE,ELTON JOHN,,,男,男,,,2,1,1
CHI005697,ONE LOVE,英语,DAVID GUETTA^ESTELLE,DAVID GUETTA,ESTELLE,,,男,女,,,2,1,1
CHI005706,DIRTY PICTURE,英语,TAIO CRUZ^KE$HA,TAIO CRUZ,KE$HA,,,男,,,,2,1,1
CHI006639,TAKE A BOW,英语,RIHANNA,RIHANNA,,,,女,,,,2,1,1
CHI006644,EENIE MEENIE,英语,SEAN KINGSTON^JUSTIN BIEBER,SEAN KINGSTON,JUSTIN BIEBER,,,男,,,,2,1,1
CHI006646,WAKA WAKA(THIS TIME FOR AFRICA),英语,SHAKIRA,SHAKIRA,,,,女,,,,2,1,1
CHI006663,MY FIRST KISS,英语,3OH!3^KE$HA,3OH!3,KE$HA,,,男,,,,2,1,1
CHI006667,NOT AFRAID,英语,EMINEM,EMINEM,,,,男,,,,2,1,1
CHI006669,WAVIN' FLAG,英语,K'NAAN^WILL I AM^DAVID GUETTA,K'NAAN,WILL.I.AM,DAVID GUETTA,,男,男,男,,2,1,1
CHI006670,ALEJANDRO,英语,LADY GAGA,LADY GAGA,,,,女,,,,2,1,1
CHI006671,BARBIE GIRL,英语,AQUA,AQUA,,,,合,,,,2,1,1
CHI007707,MAD WORLD,英语,ADAM LAMBERT,ADAM LAMBERT,,,,男,,,,2,1,1
CHI007717,OUR SONG,英语,TAYLOR SWIFT,TAYLOR SWIFT,,,,女,,,,2,1,1
CHI004412,死性不改,粤语,BOY'Z,BOY'Z,,,,合,,,,2,1,3
CHI004413,小酒窝,粤语,蔡卓妍^林俊杰,蔡卓妍,林俊杰,,,男,女,,,2,1,3
CHI004429,我的回忆不是我的,粤语,泳儿^海鸣威,泳儿,海鸣威,,,女,男,,,2,1,3
CHI201206634,自挂东南枝,国语,AMURO,AMURO,,,,男,,,,2,1,1
CHI004436,启程,国语,水木年华,水木年华,,,,合,,,,2,1,3
CHI005415,红蝴蝶,粤语,吴卓羲,吴卓羲,,,,女,,,,2,1,
CHI005439,给自己的信,粤语,郑秀文,郑秀文,,,,女,,,,2,1,
CHI005449,新不了情,国语,江若琳,江若琳,,,,女,,,,2,1,
CHI003036,舞法舞天,国语,罗志祥,罗志祥,,,,男,,,,2,1,
CHI003037,为什么要在一起,国语,罗志祥,罗志祥,,,,男,,,,2,1,
CHI003047,YOU AND ME,英语,OLIVIA ONG,OLIVIA ONG,,,,女,,,,2,1,
CHI003048,SHERO,国语,SHE,SHE,,,,合,,,,2,1,1
CHI003051,想你就写信,国语,浪花兄弟,浪花兄弟,,,,合,,,,2,1,
CHI003073,很爱,国语,王心凌,王心凌,,,,女,,,,2,1,
CHI003075,我陪你哭,国语,萧亚轩,萧亚轩,,,,女,,,,2,1,
CHI004011,一丝不挂,粤语,陈奕迅,陈奕迅,,,,男,,,,2,1,
CHI004012,无人之境,粤语,陈奕迅,陈奕迅,,,,男,,,,2,1,
CHI004015,这叫爱,国语,BY2,BY2,,,,合,,,,2,1,
CHI004021,我们没有在一起,国语,刘若英,刘若英,,,,女,,,,2,1,
CHI004027,NOBODY,国语,WONDER GIRLS,WONDER GIRLS,,,,合,,,,2,1,1
CHI004033,你是你的,国语,弦子,弦子,,,,女,,,,2,1,
CHI004036,爱就对了,国语,SHE,SHE,,,,合,,,,2,1,
CHI004037,你不会,国语,SHE,SHE,,,,合,,,,2,1,
CHI004045,我不想念,国语,刘若英,刘若英,,,,女,,,,2,1,
CHI005001,爱上你,国语,BY2,BY2,,,,合,,,,2,1,
CHI005006,谢谢你的美好,国语,严爵,严爵,,,,男,,,,2,1,
CHI005011,天真,国语,弦子,弦子,,,,女,,,,2,1,
CHI005013,传奇,国语,李健,李健,,,,男,,,,2,1,
CHI005014,寄生,国语,吴克群,吴克群,,,,男,,,,2,1,
CHI005015,伦敦的爱情,国语,蓝又时,蓝又时,,,,女,,,,2,1,
CHI005024,风和日丽,国语,刘若英,刘若英,,,,女,,,,2,1,
CHI005025,继续给十五岁的自己,国语,刘若英,刘若英,,,,女,,,,2,1,
CHI005026,黑色月亮,国语,杨丞琳,杨丞琳,,,,女,,,,2,1,
CHI005036,写不完的温柔,国语,邓紫棋,邓紫棋,,,,女,,,,2,1,1
CHI005041,嫁妆,国语,郭静,郭静,,,,女,,,,2,1,
CHI005042,聊天,国语,郭静,郭静,,,,女,,,,2,1,
CHI005048,带我离开,国语,BY2,BY2,,,,合,,,,2,1,
CHI005049,爱上你,国语,SHE,SHE,,,,合,,,,2,1,
CHI005051,再见王子,国语,棉花糖,棉花糖,,,,合,,,,2,1,
CHI005052,超人不会飞,国语,周杰伦,周杰伦,,,,男,,,,2,1,
CHI005053,偏食,国语,杨丞琳,杨丞琳,,,,女,,,,2,1,
CHI005062,宽恕,国语,神木与瞳,神木与瞳,,,,合,,,,2,1,
CHI006001,雨下一整晚,国语,周杰伦,周杰伦,,,,男,,,,2,1,
CHI006002,免费教学录影带,国语,周杰伦,周杰伦,,,,男,,,,2,1,
CHI006009,HAPPY BIRTHDAY,国语,康康,康康,,,,男,,,,2,1,
CHI006015,每一天都不同,国语,郭静,郭静,,,,女,,,,2,1,
CHI006019,烟火,国语,郭采洁,郭采洁,,,,女,,,,2,1,
CHI006020,有没有,国语,韦礼安,韦礼安,,,,男,,,,2,1,
CHI006023,说了再见,国语,周杰伦,周杰伦,,,,男,,,,2,1,
CHI006025,跳痛,国语,戴爱玲,戴爱玲,,,,女,,,,2,1,
CHI006033,A.I.N.Y.爱你,国语,邓紫棋,邓紫棋,,,,女,,,,2,1,1
CHI006075,原来,国语,信乐团,信乐团,,,,合,,,,2,1,
CHI006077,总算我们也爱过,国语,郭静^CLAIRE,郭静,CLAIRE,,,女,,,,2,1,
CHI006080,慢慢等,国语,韦礼安,韦礼安,,,,男,,,,2,1,
CHI006083,好久不见,国语,周杰伦,周杰伦,,,,男,,,,2,1,
CHI007030,你是我的OK绷,国语,浪花兄弟^周杰伦,浪花兄弟,周杰伦,,,合,男,,,2,1,
CHI007035,信者得爱,国语,郑秀文^MC HOTDOG,郑秀文,MC HOTDOG,,,女,男,,,2,1,
CHI009501,荷塘月色,国语,凤凰传奇,凤凰传奇,,,,合,,,,2,1,
CHI009001,十年一刻,国语,苏打绿,苏打绿,,,,合,,,,2,1,
CHI009002,宝贝,国语,莫文蔚,莫文蔚,,,,女,,,,2,1,
CHI009004,伯牙绝弦,国语,王力宏,王力宏,,,,男,,,,2,1,
CHI009607,GIRLS GIRLS GIRLS,英语,JAY-Z,JAY-Z,,,,男,,,,2,1,
CHI009604,BEAUTIFUL MONSTER,英语,NE YO,NE YO,,,,男,,,,2,1,
CHI009524,偷偷的哭,国语,陈玉建,陈玉建,,,,男,,,,2,1,
CHI009528,在心里从此永远有个你,国语,高安,高安,,,,男,,,,2,1,
CHI009556,坏天使,国语,江映蓉,江映蓉,,,,女,,,,2,1,
CHI009876,鸿雁,国语,降央卓玛,降央卓玛,,,,女,,,,2,1,
CHI008061,花一开就相爱吧,国语,林依晨,林依晨,,,,女,,,,2,1,
CHI008063,你不知道的事,国语,王力宏,王力宏,,,,男,,,,2,1,
CHI009089,小伤口,国语,蔡依林,蔡依林,,,,女,,,,2,1,
CHI009090,潇洒小姐,国语,萧亚轩,萧亚轩,,,,女,,,,2,1,
CHI009091,错的人,国语,萧亚轩,萧亚轩,,,,女,,,,2,1,
CHI009093,夏天,国语,李玖哲,李玖哲,,,,男,,,,2,1,
CHI009619,YOU LOST ME,英语,CHRISTINA AGUILERA,CHRISTINA AGUILERA,,,,女,,,,2,1,
CHI009621,STAN,英语,EMINEM,EMINEM,,,,男,,,,2,1,
CHI009557,练习题,国语,江映蓉,江映蓉,,,,女,,,,2,1,
CHI009529,你是我的眼,国语,萧煌奇,萧煌奇,,,,男,,,,2,1,
CHI009051,完美孤独,国语,莫文蔚,莫文蔚,,,,女,,,,2,1,
CHI009052,原谅,国语,黄龄,黄龄,,,,女,,,,2,1,
CHI009559,你把爱情给了谁,国语,龙梅子^王强,龙梅子,王强,,,女,男,,,2,1,
CHI009104,最后一页,国语,江语晨,江语晨,,,,女,,,,2,1,1
CHI009413,上海滩,粤语,陈浩德,陈浩德,,,,男,,,,2,1,
CHI009514,心肝宝贝,国语,任贤齐^徐熙媛,任贤齐,徐熙媛,,,男,女,,,2,1,
WAN201203054,4 REAL,英语,AVRIL LAVIGNE,AVRIL LAVIGNE,,,,女,,,,2,1,1
CHI010040,没礼貌,国语,大嘴巴,大嘴巴,,,,合,,,,2,1,
CHI010048,追追追,台语,苏打绿,苏打绿,,,,合,,,,2,1,
CHI010056,转身之后,国语,BII,BII,,,,男,,,,2,1,
CHI009077,插曲,粤语,郑秀文,郑秀文,,,,女,,,,2,1,1
CHI009632,MINE,英语,TAYLOR SWIFT,TAYLOR SWIFT,,,,女,,,,2,1,
CHI009648,SOMEBODY LIKE YOU,英语,KEITH URBAN,KEITH URBAN,,,,男,,,,2,1,
CHI009654,ANTHEM,英语,PITBULL,PITBULL,,,,男,,,,2,1,
CHI009082,寂寞寂寞就好,国语,田馥甄,田馥甄,,,,女,,,,2,1,
CHI009085,无眠,国语,苏打绿,苏打绿,,,,合,,,,2,1,
CHI009545,没时间,国语,牛奶咖啡,牛奶咖啡,,,,合,,,,2,1,
CHI009457,罪人,粤语,李克勤,李克勤,,,,男,,,,2,1,
CHI010023,狂想曲,国语,萧亚轩,萧亚轩,,,,女,,,,2,1,
CHI010024,没关系,国语,吴克群,吴克群,,,,男,,,,2,1,
CHI010027,野蔷薇,国语,戴佩妮,戴佩妮,,,,女,,,,2,1,
CHI010088,亲爱的还幸福吗,国语,金莎,金莎,,,,女,,,,2,1,
CHI010092,蝉想,国语,苏打绿,苏打绿,,,,合,,,,2,1,
CHI010099,诗与胡说,国语,何韵诗,何韵诗,,,,女,,,,2,1,
CHI010102,绿洲,国语,徐佳莹,徐佳莹,,,,女,,,,2,1,1
CHI010073,明天以后,国语,戴佩妮,戴佩妮,,,,女,,,,2,1,
CHI010064,TO HEBE,国语,田馥甄,田馥甄,,,,女,,,,2,1,
CHI010065,如燕,国语,OLIVIA ONG,OLIVIA ONG,,,,女,,,,2,1,
CHI010602,FEEL GOOD INC,英语,GORILLAZ,GORILLAZ,,,,男,,,,2,1,
CHI010615,ONE,英语,U2,U2,,,,男,,,,2,1,
CHI010013,美,国语,王力宏,王力宏,,,,男,,,,2,1,
CHI010014,需要人陪,国语,王力宏,王力宏,,,,男,,,,2,1,
D201303015,回家,国语,关喆,关喆,,,,男,,,,1,2,1
CHI010009,哔哔哔,台语,谢金燕,谢金燕,,,,女,,,,2,1,
CHI010548,越伤越爱,国语,何洁,何洁,,,,女,,,,2,1,
CHI010087,相思垢,国语,金莎,金莎,,,,女,,,,2,1,
CHI011652,LOVE ME,英语,JUSTIN BIEBER,JUSTIN BIEBER,,,,男,,,,2,1,
CHI011508,傻子的约定,国语,迪克牛仔,迪克牛仔,,,,男,,,,2,1,
CHI011530,办不到,国语,张靓颖^大嘴巴,张靓颖,大嘴巴,,,女,合,,,2,1,
CHI011531,就这样好了,国语,张靓颖,张靓颖,,,,女,,,,2,1,
CHI011532,如果这就是爱情,国语,张靓颖,张靓颖,,,,女,,,,2,1,
CHI011533,勇敢爱,国语,张靓颖,张靓颖,,,,女,,,,2,1,
CHI011534,我相信,国语,张靓颖,张靓颖,,,,女,,,,2,1,
CHI011536,夜车,国语,曾轶可,曾轶可,,,,女,,,,2,1,
CHI011001,孤儿泪,国语,刘德华,刘德华,,,,男,,,,2,1,
CHI011002,绝对不放,国语,吴克群,吴克群,,,,男,,,,2,1,
CHI011008,脆弱,国语,谢安琪,谢安琪,,,,女,,,,2,1,
CHI011013,牵阮的手,台语,苏打绿,苏打绿,,,,合,,,,2,1,
CHI011019,天后,国语,陈势安,陈势安,,,,男,,,,2,1,
CHI011565,香水有毒,国语,CT GIRLS,CT GIRLS,,,,合,,,,2,1,
CHI011570,痴心绝对,国语,CT GIRLS,CT GIRLS,,,,合,,,,2,1,
CHI011606,FUCK YOU,英语,CEE LO GREEN,CEE LO GREEN,,,,男,,,,2,1,1
MA201108379,仰望,国语,杨丞琳,杨丞琳,,,,女,,,,1,2,1
HAN201110251,油菜花,国语,成龙,成龙,,,,男,,,,1,2,4
CHI011801,犯贱,国语,徐良^阿悄,徐良,阿悄,,,男,女,,,2,1,
CHI011805,一个人的寂寞两个人的错,国语,孙艳,孙艳,,,,女,,,,2,1,
CHI011808,牵手,国语,金悦,金悦,,,,男,,,,2,1,
CHI011826,阿爸,台语,周杰伦^洪荣宏,周杰伦,洪荣宏,,,男,男,,,2,1,
CHI011572,阳光总在风雨后,国语,许美静,许美静,,,,女,,,,2,1,1
CHI011841,好汉歌,国语,刘欢,刘欢,,,,男,,,,2,1,
CHI011031,黑发尤物,国语,蔡依林,蔡依林,,,,女,,,,2,1,
814359B1,爱恨恢恢,国语,周迅,周迅,,,,女,,,,L,R,1
Ma100214,说再见不应该在秋天,国语,栗雅馨^王子月,栗雅馨,王子月,,,,,,,1,2,
Ma100810,BOUNCE,英语,SARAH CONNOR,SARAH CONNOR,,,,女,,,,1,2,1
Ma100828,TONIGHT I FEEL CLOSE TO YOU,英语,孙燕姿^仓木麻衣,孙燕姿,仓木麻衣,,,女,女,,,1,2,1
Ma100838,TIME FOR MIRACLES,英语,ADAM LAMBERT,ADAM LAMBERT,,,,男,,,,1,2,1
Ma100925,HEARTLESS,英语,KANYE WEST,KANYE WEST,,,,男,,,,1,2,
Ma100935,EH EH,英语,LADY GAGA,LADY GAGA,,,,女,,,,1,2,
Ma100953,HATE THAT I LOVE YOU,英语,RIHANNA^DAVID BISBALL,RIHANNA,DAVID BISBALL,,,女,,,,1,2,
Ma100960,CHOCOLATE LOVE,韩语,少女时代,少女时代,,,,合,,,,1,2,
Ma100971,I LOOK TO YOU,英语,WHITNEY HOUSTON,WHITNEY HOUSTON,,,,女,,,,1,2,
Ma101006,龙文,国语,谭晶,谭晶,,,,女,,,,1,2,3
Ma101055,BAD ROMANCE,英语,LADY GAGA,LADY GAGA,,,,女,,,,1,2,1
Ma101075,SHE WOLF,英语,SHAKIRA,SHAKIRA,,,,女,,,,1,2,1
Ma101084,YOU BELONG WITH ME,英语,TAYLOR SWIFT,TAYLOR SWIFT,,,,女,,,,1,2,1
Ma101128,NOTHING'S GONNA CHANGE MY LOVE FOR YOU,英语,方大同,方大同,,,,男,,,,1,2,1
Ma101129,RED BEAN,粤语,方大同,方大同,,,,男,,,,1,2,
Ma101256,ALL ABOUT YOU,粤语,邓紫棋,邓紫棋,,,,女,,,,1,2,1
Ma101539,每天爱你的一些,粤语,泳儿,泳儿,,,,女,,,,1,2,3
Ma101540,情书＋情网,国语,泳儿,泳儿,,,,女,,,,1,2,3
Ma800136,敖包相会-慢四,国语,佚名,佚名,,,,合,,,,L,R,1
Ma801489,冰河时代,国语,佚名,佚名,,,,合,,,,L,R,1
Ma801490,冰河时代 III,英语,佚名,佚名,,,,合,,,,L,R,1
Ma801512,你看不到的天空,国语,蔡旻佑,蔡旻佑,,,,男,,,,1,2,1
Ma801517,火烧的寂寞,国语,信,信,,,,男,,,,1,2,1
Ma800512,生命要继续,国语,WITNESS^AGOTA,WITNESS,AGOTA,,,,,,,1,2,1
Ma800811,难忘初恋情人,国语,邓丽君,邓丽君,,,,女,,,,1,2,1
Ma801106,缘分天空,国语,孙楠,孙楠,,,,男,,,,1,2,3
Ma801598,摩天轮-舞曲版,国语,罗百吉,罗百吉,,,,男,,,,1,2,1
Ma801733,不要爱上我,国语,温岚,温岚,,,,女,,,,1,2,1
Ma801817,再见勾勾,国语,卢广仲,卢广仲,,,,男,,,,1,2,1
Ma801827,偶尔,国语,张韶涵,张韶涵,,,,女,,,,1,2,1
Ma801842,失业情歌,国语,胡彦斌,胡彦斌,,,,男,,,,1,2,1
Ma802236,朝思暮想,国语,张靓颖,张靓颖,,,,女,,,,1,2,1
Ma802283,不爱请闪开,国语,萧亚轩,萧亚轩,,,,女,,,,1,2,1
Ma802303,要嫁就嫁灰太狼,国语,周艳泓,周艳泓,,,,女,,,,1,2,3
Ma802279,看见什么吃什么,国语,林宥嘉,林宥嘉,,,,男,,,,1,2,1
Ma802280,近未来,国语,苏打绿,苏打绿,,,,合,,,,1,2,1
Ma803880,黑武士,国语,林俊杰,林俊杰,,,,男,,,,L,R,
Ma804091,飞走了,国语,金海心,金海心,,,,女,,,,1,2,1
Ma804115,复活节,国语,张韶涵,张韶涵,,,,女,,,,L,R,
Ma804120,疯人愿,国语,魏晨,魏晨,,,,,,,,1,2,3
Ma802638,重来好不好,国语,杨宗纬,杨宗纬,,,,男,,,,1,2,9
Ma803162,我家有个小九妹,国语,颜忍,颜忍,,,,,,,,L,R,1
Ma803277,虫儿飞,国语,郑伊健,郑伊健,,,,男,,,,1,2,
Ma803365,草戒指,国语,神木与瞳,神木与瞳,,,,合,,,,1,2,1
Ma803505,爱转角,国语,罗志祥,罗志祥,,,,男,,,,1,2,1
Ma803511,安静了,国语,SHE,SHE,,,,合,,,,1,2,1
Ma804410,妥协,国语,蔡依林,蔡依林,,,,女,,,,1,2,1
Ma804414,脱掉,国语,杜德伟,杜德伟,,,,男,,,,1,2,1
Ma805243,送战友,国语,小曾,小曾,,,,男,,,,L,R,1
Ma805324,数鸭子,国语,佚名,佚名,,,,合,,,,1,2,
Ma805654,小龙人,国语,东与政,东与政,,,,合,,,,1,2,3
Ma805763,小乌龟,国语,张栋梁,张栋梁,,,,男,,,,1,2,1
Ma806071,洛丽塔,国语,卓亚君,卓亚君,,,,女,,,,1,2,
Ma806513,三人游,国语,方大同,方大同,,,,男,,,,1,2,3
Ma806538,木乃伊,国语,林俊杰,林俊杰,,,,男,,,,1,2,1
Ma806613,明知道,国语,许美静,许美静,,,,女,,,,1,2,1
Ma806644,噢买尬,国语,五月天,五月天,,,,合,,,,1,2,1
Ma806979,北方的狼,国语,高枫,高枫,,,,男,,,,1,2,3
Ma807016,白狐,国语,李维,李维,,,,男,,,,1,2,
Ma807226,渡口,国语,蔡琴,蔡琴,,,,女,,,,1,2,
Ma807337,犯错,国语,顾峰^斯琴高丽,顾峰,斯琴高丽,,,男,女,,,1,2,1
Ma807441,幸福的风,国语,杨宗纬,杨宗纬,,,,男,,,,1,2,1
Ma807966,坏孩子,国语,许嵩,许嵩,,,,男,,,,1,2,
Ma808437,让,国语,杨宗纬,杨宗纬,,,,男,,,,1,2,1
Ma808440,想象十个你,国语,吴建豪,吴建豪,,,,男,,,,1,2,3
Ma808460,比你贱,国语,SHE,SHE,,,,合,,,,L,R,3
Ma808589,OKOK,国语,苏慧伦,苏慧伦,,,,女,,,,1,2,1
Ma811303,燕燕作媒,国语,佚名,佚名,,,,合,,,,1,2,1
Ma811331,星座书上,国语,许嵩,许嵩,,,,男,,,,1,2,
Ma809104,童话-演唱版,国语,光良,光良,,,,男,,,,1,2,1
Ma809756,够爱,国语,东城卫,东城卫,,,,,,,,1,2,
Ma809917,姐姐,国语,张楚,张楚,,,,男,,,,1,2,1
Ma810222,IN CONTROL,国语,孟楠,孟楠,,,,女,,,,L,R,
Ma810315,爱情多瑙河,国语,熊天平,熊天平,,,,男,,,,1,2,1
Ma810590,真心英雄,国语,群星,群星,,,,,,,,1,2,1
Ma811123,草愿夜色美,国语,德德玛,德德玛,,,,女,,,,1,2,3
Ma811631,缘分天空,国语,孙楠,孙楠,,,,男,,,,1,2,1
Ma811868,一块红布,国语,崔健,崔健,,,,男,,,,1,2,1
Ma811924,雍正王朝,国语,刘欢,刘欢,,,,男,,,,1,2,
Ma812165,突然好想你,国语,五月天,五月天,,,,合,,,,1,2,1
Ma812297,千万次地问,国语,刘欢,刘欢,,,,男,,,,1,2,3
Ma812641,我最亲爱的,国语,佚名,佚名,,,,合,,,,L,R,1
Ma812658,西湖印象雨,国语,张靓颖,张靓颖,,,,女,,,,L,R,
Ma812753,玩够了没有,国语,零点乐队,零点乐队,,,,合,,,,1,2,3
Ma812822,我们就到这,国语,梁静茹,梁静茹,,,,女,,,,1,2,1
Ma812874,我对天空说,国语,潘玮柏,潘玮柏,,,,男,,,,1,2,
Ma812966,花开的声音,国语,张靓颖,张靓颖,,,,女,,,,1,2,
Ma813592,里约热内卢,国语,杨坤,杨坤,,,,男,,,,1,2,3
Ma813730,另一个天堂,国语,王力宏^张靓颖,王力宏,张靓颖,,,男,女,,,1,2,1
Ma813827,对爱渴望,国语,杨宗纬,杨宗纬,,,,男,,,,1,2,1
Ma813830,断桥残雪,国语,许嵩,许嵩,,,,男,,,,1,2,9
Ma814052,此生不换,国语,青鸟飞鱼,青鸟飞鱼,,,,合,,,,1,2,
Ma814184,刀剑如梦,国语,周华健,周华健,,,,男,,,,1,2,1
Ma814221,机车女孩,国语,罗百吉,罗百吉,,,,男,,,,1,2,
Ma814465,姑娘漂亮,国语,何勇,何勇,,,,男,,,,1,2,3
Ma814971,醉赤壁,国语,林俊杰,林俊杰,,,,男,,,,1,2,1
Ma815765,如果当时,国语,许嵩,许嵩,,,,男,,,,1,2,
Ma815971,我的快乐,国语,锦绣二重唱,锦绣二重唱,,,,合,,,,L,R,
Ma816446,莲的心事,国语,乌兰托娅,乌兰托娅,,,,女,,,,1,2,
Ma816502,美了美了,国语,小沈阳^汤潮,小沈阳,汤潮,,,男,男,,,1,2,1
Ma816599,没有如果,国语,梁静茹,梁静茹,,,,女,,,,1,2,1
Ma816642,渴死的鱼,国语,彭亮,彭亮,,,,男,,,,1,2,
Ma816699,桔子香水,国语,任贤齐,任贤齐,,,,男,,,,L,R,1
Ma816740,类似爱情,国语,萧亚轩,萧亚轩,,,,女,,,,1,2,1
Ma817191,你在不在,国语,郭采洁,郭采洁,,,,女,,,,1,2,1
Ma817233,你的承诺,国语,海鸣威^泳儿,海鸣威,泳儿,,,男,女,,,L,R,
Ma817350,听妈妈讲那过去的事,国语,佚名,佚名,,,,合,,,,1,2,
